ID,NYC-Q_lemon_1,NYC-Q_lemon_2,NYC-Q_lemon_3,NYC-Q_lemon_4,NYC-Q_lemon_5,NYC-Q_lemon_6,NYC-Q_lemon_7,NYC-Q_lemon_8,NYC-Q_lemon_9,NYC-Q_lemon_10,NYC-Q_lemon_11,NYC-Q_lemon_12,NYC-Q_lemon_13,NYC-Q_lemon_14,NYC-Q_lemon_15,NYC-Q_lemon_16,NYC-Q_lemon_17,NYC-Q_lemon_18,NYC-Q_lemon_19,NYC-Q_lemon_20,NYC-Q_lemon_21,NYC-Q_lemon_22,NYC-Q_lemon_23,NYC-Q_lemon_24,NYC-Q_lemon_25,NYC-Q_lemon_26,NYC-Q_lemon_27,NYC-Q_lemon_28,NYC-Q_lemon_29,NYC-Q_lemon_30,NYC-Q_lemon_31,Unnamed: 32,Unnamed: 33
sub-010077,7.0,9,8.0,3,3.0,1.0,2.0,2,1,1,1,7.0,7.0,7,9.0,6.0,1.0,9.0,9.0,9,1.0,9,9,9.0,9.0,2,2.0,2.0,7.0,9.0,9.0,,
sub-010078,1.0,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1,9.0,1.0,1.0,9.0,9.0,9,1.0,1,9,1.0,1.0,9,1.0,1.0,1.0,9.0,9.0,,
sub-010079,3.0,7,5.0,1,4.0,2.0,5.0,7,1,1,1,4.0,5.0,7,6.0,3.0,1.0,1.0,7.0,7,2.0,1,6,9.0,1.0,8,8.0,6.0,9.0,1.0,7.0,,
sub-010080,9.0,7,9.0,2,5.0,5.0,7.0,9,2,1,1,8.0,8.0,3,1.0,1.0,1.0,,7.0,9,1.0,8,8,9.0,1.0,*,8.0,8.0,9.0,3.0,5.0,,
sub-010081,2.0,5,5.0,7,7.0,1.0,5.0,1,1,1,1,3.0,6.0,6,5.0,3.0,3.0,6.0,6.0,1,1.0,1,1,6.0,1.0,6,1.0,1.0,1.0,1.0,1.0,,
sub-010083,9.0,9,7.0,3,9.0,9.0,9.0,9,1,9,9,9.0,9.0,9,7.0,9.0,9.0,6.0,9.0,9,1.0,9,9,7.0,9.0,9,3.0,9.0,5.0,3.0,5.0,,
sub-010084,5.0,9,9.0,8,5.0,2.0,4.0,4,2,2,2,8.0,8.0,8,4.0,9.0,4.0,2.0,4.0,9,5.0,8,4,9.0,1.0,5,8.0,4.0,6.0,2.0,4.0,,
sub-010085,1.0,9,9.0,9,1.0,9.0,1.0,1,1,1,1,9.0,9.0,8,1.0,9.0,1.0,1.0,1.0,9,1.0,1,1,9.0,1.0,9,8.0,1.0,9.0,1.0,1.0,,
sub-010086,1.0,9,9.0,1,1.0,7.0,7.0,9,5,1,6,1.0,1.0,8,1.0,7.0,9.0,1.0,9.0,8,1.0,1,1,8.0,4.0,2,,,4.0,3.0,6.0,,
sub-010087,7.0,9,7.0,9,6.0,1.0,1.0,1,1,1,1,9.0,1.0,6,1.0,6.0,9.0,1.0,9.0,1,1.0,1,1,1.0,1.0,6,,1.0,8.0,5.0,1.0,,
sub-010088,1.0,2,1.0,2,1.0,2.0,1.0,1,1,2,1,3.0,2.0,3,3.0,1.0,1.0,4.0,1.0,1,1.0,1,1,1.0,2.0,3,3.0,1.0,1.0,4.0,4.0,,
sub-010089,6.0,6,7.0,5,1.0,1.0,1.0,1,6,4,4,1.0,1.0,1,5.0,7.0,4.0,7.0,5.0,8,8.0,1,6,1.0,1.0,5,1.0,5.0,7.0,5.0,5.0,,
sub-010090,1.0,9,1.0,1,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1,1.0,1.0,1.0,9.0,1.0,1,1.0,1,1,9.0,9.0,9,1.0,9.0,9.0,1.0,1.0,,
sub-010091,2.0,5,7.0,4,8.0,1.0,5.0,9,1,2,2,6.0,5.0,7,4.0,2.0,3.0,9.0,7.0,8,1.0,2,2,6.0,8.0,2,5.0,4.0,8.0,2.0,2.0,,
